2379T;1;203070910;372
23T85;1;203100805;83
258AT;1;205081310;901
26Q97;1;206110907;527
293A8;1;209031308;762
2QA84;1;211130804;602
2K8TA;1;212081013;283
32954;1;302090504;563
32A85;1;302130805;750
345T8;1;304051008;824
347AQ;1;304071311;103
35T98;1;305100908;453
375KA;1;307051213;490
38T97;1;308100907;119
39285;1;309020805;648
3T596;1;310050906;570
3Q4KA;1;311041213;398
3Q58T;1;311050810;677
3KT5Q;1;312100511;759
3A74T;1;313070410;997
3A8T9;1;313081009;124
3AQ2K;1;313110212;151
42698;1;402060908;606
42857;1;402080507;80
429QK;1;402091112;414
45T2Q;1;405100211;287
4T982;1;410090802;58
4TK7A;1;410120713;869
4Q5TA;1;411051013;240
4Q635;1;411060305;726
523T9;1;502031009;323
53K82;1;503120802;348
542A7;1;504021307;419
56384;1;506030804;728
56948;1;506090408;784
56QKA;1;506111213;230
592Q4;1;509021104;823
59A28;1;509130208;401
5TK28;1;510120208;571
5Q2A3;1;511021303;20
5Q428;1;511040208;665
5Q8A6;1;511081306;396
5QK23;1;511120203;163
5K47T;1;512040710;591
62K39;1;602120309;341
634TA;1;603041013;804
63T4K;1;603100412;138
69873;1;609080703;859
698T4;1;609081004;370
69QT4;1;609111004;811
69A2Q;1;609130211;774
6TQ27;1;610110207;635
6TK4Q;1;610120411;440
726K8;1;702061208;244
72934;1;702090304;700
72T38;1;702100308;260
73854;1;703080504;868
74TQ2;1;704101102;335
7598T;1;705090810;982
784A5;1;708041305;248
789KA;1;708091213;947
7TA49;1;710130409;839
7Q685;1;711060805;410
82AK7;1;802131207;338
84937;1;804090307;675
84TA3;1;804101303;444
84K5T;1;804120510;831
86452;1;806040502;744
874TK;1;807041012;257
87K94;1;807120904;894
87KTA;1;807121013;942
892Q4;1;809021104;893
8K942;1;812090402;458
93T86;1;903100806;452
93A54;1;903130504;621
943Q5;1;904031105;671
95TA4;1;905101304;650
97623;1;907060203;996
98243;1;908020403;832
9T58Q;1;910050811;493
9TAK5;1;910131205;352
9QKT8;1;911121008;6
9K4A5;1;912041305;488
9K5T7;1;912051007;93
9KA57;1;912130507;723
T2Q4A;1;1002110413;454
T38A6;1;1003081306;988
T678Q;1;1006070811;731
T962K;1;1009060212;210
TQ382;1;1011030802;120
TK384;1;1012030804;543
TK392;1;1012030902;435
TK8Q7;1;1012081107;792
TA28Q;1;1013020811;218
Q3792;1;1103070902;5
Q5384;1;1105030804;322
Q6TKA;1;1106101213;899
Q98K4;1;1109081204;325
QT4K7;1;1110041207;501
QT57K;1;1110050712;941
K2Q45;1;1202110405;510
K473A;1;1204070313;649
K4927;1;1204090207;968
K6A49;1;1206130409;807
KT625;1;1210060205;342
KQ369;1;1211030609;33
A4372;1;1304030702;329
A4T96;1;1304100906;128
A4K86;1;1304120806;990
A5TKQ;1;1305101211;497
A6K43;1;1306120403;749
A8T26;1;1308100206;312
A97Q4;1;1309071104;235
A97K3;1;1309071203;891
J3749;2;103070409;432
J4792;2;104070902;992
J47Q8;2;104071108;413
J4QA2;2;104111302;49
J6954;2;106090504;2
J6T2K;2;106100212;841
J7234;2;107020304;917
J7425;2;107040205;948
J753Q;2;107050311;772
J9386;2;109030806;852
JT534;2;110050304;160
JK5T4;2;112051004;564
JK987;2;112090807;292
JA9K5;2;113091205;535
2J7K8;2;201071208;618
22835;2;202080305;595
229A7;2;202091307;334
22TK5;2;202101205;647
23T6J;2;203100601;575
24258;2;204020508;780
24874;2;204080704;628
25K59;2;205120509;662
265Q5;2;206051105;449
2735J;2;207030501;167
27QAJ;2;207111301;616
2879J;2;208070901;483
29JQ7;2;209011107;366
2T284;2;210020804;561
2T2KQ;2;210021211;645
2T37T;2;210030710;694
2T9J6;2;210090106;364
2T9JQ;2;210090111;113
2Q3KJ;2;211031201;929
2Q9J6;2;211090106;568
2K2QA;2;212021113;153
2KK73;2;212120703;608
326A3;2;302061303;208
3422Q;2;304020211;971
344A5;2;304041305;186
34K24;2;304120204;270
35683;2;305060803;347
36J95;2;306010905;502
37764;2;307070604;460
39TJ2;2;309100102;261
3TAT7;2;310131007;19
3Q4J8;2;311040108;518
3Q522;2;311050202;653
3Q8QK;2;311081112;137
3A379;2;313030709;421
42TJ8;2;402100108;82
42KTT;2;402121010;457
42A47;2;402130407;420
436Q3;2;403061103;192
4429T;2;404020910;846
448T9;2;404081009;598
